Id,Prediction
0,6214157.357259572
1,3045224.324971895
2,4170245.544838569
3,3133391.163311974
4,3483931.1631618035
5,4687887.421445479
6,5467802.797206215
7,3374842.098676896
8,6388784.189047545
9,5343225.420535154
10,4050328.713990859
11,3332119.7689946177
12,8024270.197150383
13,8492027.825982315
14,3927827.8852304122
15,6760504.353547142
16,5670209.197532396
17,3990969.5046837744
18,6145590.8174839225
19,3766615.240930795
20,3717617.886336021
21,7519083.370066133
22,5155864.508454238
23,5287417.091293914
24,4010939.857397576
25,3251039.7290083366
26,3303364.419231231
27,4211780.5259756325
28,4924119.213939653
29,4515162.839858276
30,6575353.072211908
31,3159353.780332128
32,4136855.422457005
33,5285224.91867691
34,3422622.172323855
35,4262853.0043323515
36,5004402.450837216
37,5693898.4668319225
38,3173258.803123594
39,4413044.978853586
40,4172779.3063120237
41,4271820.716172605
42,4686859.986560319
43,5092080.802700379
44,5167827.962030188
45,3418840.995867735
46,3922519.5750898053
47,2254424.9894261886
48,4972844.566897428
49,5119829.7111855745
50,5965773.486430777
51,3745831.014133879
52,3685679.130151073
53,3244270.999300939
54,3740708.126054221
55,4918435.070491178
56,5051253.754020764
57,4612243.935372243
58,5167953.743396793
59,5441380.438284841
60,5399807.035892826
61,5516422.695261521
62,4683343.618167883
63,4193020.323973251
64,5512044.92341953
65,9401023.354382664
66,5721340.315427739
67,7020588.429280796
68,4364982.088411962
69,4520775.051609809
70,3972602.939218374
71,3227953.592266615
72,4103976.1691873195
73,6653007.19637039
74,6632258.069225432
75,5160466.824901213
76,5287904.713933321
77,4555131.924504967
78,5580312.441750313
79,4122074.1930616116
80,5453310.296650763
81,4685557.014056017
82,4555674.617191609
83,5414556.684779511
84,8357538.816905168
85,2304375.676780447
86,6677458.413283261
87,7114615.109163995
88,4644985.035176137
89,4306460.797375735
90,4754886.170681877
91,4962206.470336292
92,3055216.349991083
93,3913136.6438752944
94,6664416.7134686755
95,3801920.461791358
96,4088296.1713980986
97,4436983.2572580315
